EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),TCE_municipal,Atipicidad
6,COLIMA,2,COMALA,6,16735.0,2823.6978650465544,0.9879990384194118,0.09236292428198434,0.02758756222966049,0.03211175419959921,0.9938539150404928,1.5487500005791248,0.33226758588895416,-0.5297389560487804,G0,Tipica
6,COLIMA,10,TECOMAN,8,82286.0,3749.0968823660887,0.9891455056052756,0.07345900463113952,0.022003411463249408,0.025721133039140198,0.9973376993118372,0.5092277958850959,0.8994450689316115,-0.251383374329681,G1,Tipica
6,COLIMA,6,ARMERIA,2,21236.0,2052.130898318089,0.9874517096649991,0.0579912315663611,0.01892283881453911,0.021925833716955417,0.9370545488441004,-0.0711879007906225,-0.02680575547103185,-0.489670845500089,G1,Tipica
6,COLIMA,7,IXTLAHUACAN,7,4986.0,2301.9818021265464,0.9839738337962196,0.0761925318368228,0.025207341970263256,0.029941269785439588,0.885387363956449,1.1193832477420274,-0.23756091407493055,-0.10612722340490365,G0,Tipica
6,COLIMA,9,MINATITLAN,4,7385.0,2731.872980427525,0.9847476037064916,0.08411626541397534,0.02764074776989409,0.029821749589516663,0.9034000958771486,1.3693232245928508,-0.21889755130941618,-0.13538154043102724,G0,Tipica
6,COLIMA,4,CUAUHTEMOC,4,22835.0,2107.415637297776,0.9859431107427048,0.07615816013949762,0.022921636665360283,0.026810495204298,0.9931985545230724,0.8454806610375084,0.1047194286968353,-0.4966076376260802,G0,Tipica
6,COLIMA,5,VILLA DE ALVAREZ,4,101527.0,4134.640461808702,0.9881430567682292,0.0720568514197016,0.021759416134695116,0.025729075887002174,0.9947704775475104,0.5379066720783211,0.7768825024783503,-0.03461172740184024,G0,Tipica
6,COLIMA,8,MANZANILLO,9,139768.0,2475.7410687624915,0.9870348655017808,0.07068277399437725,0.021929609496623162,0.025892436739174445,0.9961580775290799,0.5502404878472263,0.9414914988745363,-0.05823007327478774,G0,Tipica
6,COLIMA,1,COLIMA,6,123135.0,3006.9993780565096,0.9871959714229309,0.0719788973334378,0.021459018437472173,0.02477332503632458,0.9948106940271786,0.48556764786375206,0.8165259521530791,-0.07513694351915809,G0,Tipica
6,COLIMA,3,COQUIMATLAN,6,15977.0,2745.217809355948,0.9865574175743548,0.07930824832804162,0.02307820290457439,0.026313150620936747,0.9869137739871812,0.8277395821721949,0.2620728851897062,-0.47907283692760977,G0,Tipica
7,CHIAPAS,78,SAN FERNANDO,9,26617.0,4312.033884843239,0.984767044234492,0.10425655492864257,0.027906637804547718,0.03329516754733027,0.9499597934405672,1.8971358704253636,0.4067682711068154,-0.010425118626599412,G0,Tipica
7,CHIAPAS,100,TUMBALA,11,23382.0,4818.275123822382,0.9883942382061875,0.041700080192461915,0.011728417763832972,0.014349850256432213,0.8967252109974668,-1.2841553902874363,0.6656561799601876,-0.1287415116120935,G1,Tipica
7,CHIAPAS,102,TUXTLA GUTIERREZ,0,444865.0,2690.244835715444,0.9899953378129668,0.05107159142726858,0.016213946263850674,0.019388472294894817,0.9922197352419164,-0.6670732157749109,2.1413395691064356,0.947477693946652,G4,Tipica
7,CHIAPAS,103,TUZANTAN,15,21037.0,2898.0871897718202,0.9903556690218044,0.02865385555718547,0.009287364324070558,0.011175907724686624,0.9262583897102143,-1.8844475445264282,0.8244272303795386,-0.6198590107124154,G1,Tipica
7,CHIAPAS,107,VILLACOMALTITLAN,12,21431.0,1860.5704333526676,0.9877080597746768,0.03726828323895261,0.012244108781390824,0.014793866727586038,0.9724553396825012,-1.17486585571014,0.5177691643736051,-0.6642524309837119,G1,Tipica
7,CHIAPAS,25,CHAPULTENANGO,2,4950.0,4985.523831567354,0.98439224787256,0.04013448203404076,0.01500973084658899,0.017483220683293242,0.9561661761911048,-0.5797671848474003,0.0077277524719307515,0.07304945430041551,G1,Tipica
7,CHIAPAS,7,AMATENANGO DEL VALLE,2,6445.0,1166.3115807986044,0.9895901294690964,0.04136370980772338,0.01361990928733542,0.016627704271325712,0.9674295682111842,-0.998674305655278,0.047093230868746776,-0.9246670822253185,G1,Tipica
7,CHIAPAS,43,IXTACOMITAN,4,7335.0,3737.5172331964286,0.9877924011159849,0.032516891891891886,0.012046241416250532,0.01408275843446974,0.9593196875845936,-1.2559914355582071,0.23424055030092775,-0.38245090417835,G1,Tipica
7,CHIAPAS,44,IXTAPA,7,18897.0,4628.16482850995,0.9819529750527688,0.02156989944858904,0.011684631962036555,0.01420887478726928,0.4274246504943557,-1.857818849098834,-1.0416488403968873,1.3940728985553104,G2,Tipica
7,CHIAPAS,45,IXTAPANGAJOYA,1,4481.0,10724.612731326348,0.970036481821408,0.06034074775201136,0.03171951446578174,0.03614602925328447,0.8503979786549559,2.479497106601977,-0.9107448925832586,2.4852223732537952,G3,Tipica
7,CHIAPAS,46,JIQUIPILAS,14,30912.0,1556.92803580303,0.9862654925632154,0.019861431870669747,0.007142581069362809,0.008647843126596295,0.9549428544311944,-2.0376823993587623,0.5231435366475334,-0.5717985055302826,G1,Tipica
7,CHIAPAS,48,JUAREZ,10,15728.0,1852.0060105842408,0.9845931514367045,0.06048142404423167,0.017603526113564163,0.020896434805319438,0.9258256916231072,-0.07970567595344129,0.12379134935875863,-0.37679769811503705,G1,Tipica
7,CHIAPAS,50,LA LIBERTAD,3,4341.0,1738.4886710532724,0.9920080711527636,0.005559416261292564,0.005491545752471504,0.006648021022526102,0.4258839140600605,-3.428296548903872,-0.8700829390384492,0.14084795554209278,G2,Tipica
7,CHIAPAS,53,MAZAPA DE MADERO,4,5742.0,8210.098038822483,0.9887875145753848,0.026273458445040216,0.01031629497600446,0.01227164221614449,0.934329785845582,-1.5892484029921259,0.6358056186125051,0.2778960929010662,G1,Tipica
7,CHIAPAS,29,CHICOASEN,1,4164.0,3654.248250428167,0.9777354901358132,0.04491844416562108,0.016102019927191076,0.018724736668091758,0.819275839923847,-0.2311073063806438,-0.8454177310393923,0.6108515018313752,G2,Tipica
7,CHIAPAS,30,CHICOMUSELO,13,24219.0,1700.3915791811758,0.9858260623419196,0.06438428408191968,0.02076175770387284,0.02531220364970281,0.977449057163428,0.4157257475530937,0.3970964414835716,-0.492144460268163,G0,Tipica
7,CHIAPAS,33,FRANCISCO LEON,2,4472.0,2737.6339566703227,0.98135607803248,0.017519908987485778,0.023162245088846633,0.027722452977659597,0.6667673197751263,-0.03364920930652399,-1.3386005717383023,0.9317953067965468,G2,Tipica
7,CHIAPAS,34,FRONTERA COMALAPA,20,49816.0,1402.160211965314,0.9793351327916708,0.048537150073668704,0.015894442159940514,0.018870583120515247,0.9559567816157224,-0.1953793142917509,0.3881437218056373,0.0030727579735531033,G1,Tipica
7,CHIAPAS,13,BOCHIL,7,23205.0,5399.290147820404,0.9870962089821856,0.04221872894677745,0.012969362727442169,0.0156746534790895,0.8841180973352294,-1.050618479151598,0.41184850023559944,0.10835225020279124,G1,Tipica
7,CHIAPAS,5,AMATAN,9,14733.0,9837.617644307102,0.9718483742452804,0.06970159006752341,0.02497929313919105,0.029675255358238187,0.8387573401055194,1.644120566480075,-0.29933301347677127,2.049757295971367,G0,Atipica en CP3
7,CHIAPAS,6,AMATENANGO DE LA FRONTERA,10,21502.0,3658.00639244664,0.9839701561645412,0.05978609098526295,0.019786263782454468,0.021761244700243168,0.9347049118854674,0.16219164424472782,0.24806851287858966,-0.006218330687236184,G1,Tipica
7,CHIAPAS,56,MITONTIC,4,7533.0,10456.889268922017,0.9858550214445524,0.05548549810844893,0.01513288281341143,0.018102403556884382,0.9591478676917023,-0.3636111275900474,0.7703828112756151,0.7247782719545195,G1,Atipica en CP3
7,CHIAPAS,39,HUIXTAN,9,15724.0,1398.0013477821235,0.991952750000692,0.058926527038857826,0.019430608011294016,0.02360343366323195,0.9885884241972898,-0.12649022613276836,0.554058095449846,-1.0137674376671177,G1,Tipica
7,CHIAPAS,41,LA INDEPENDENCIA,9,31213.0,1266.6765853426396,0.993113300523388,0.03632258707128391,0.011242134930059456,0.013583064690321105,0.9873169109433764,-1.5802527653961616,0.7563827281654973,-1.1376544097991752,G1,Tipica
7,CHIAPAS,42,IXHUATAN,2,7091.0,5466.445664484469,0.9853572253929532,0.04095713446858485,0.014129983747187606,0.017151593949649803,0.9501765184027038,-0.6989415580048879,0.1260466064443768,0.07986771523748858,G1,Tipica
7,CHIAPAS,59,OCOSINGO,44,141781.0,3997.748777014264,0.9789899370003096,0.07688860532592019,0.02603081451670692,0.031221527397507533,0.9770100829874024,1.4696637540424606,1.9992566258569824,0.8257591638373493,G0,Atipica en CP2
7,CHIAPAS,115,MARQUES DE COMILLAS,5,7270.0,1420.3947590929085,0.9829217312297068,0.015221337801982962,0.00700868820508507,0.008155753237050267,0.9306369145829784,-1.9509645970438683,-0.2574849047611601,-0.37539295285893987,G2,Tipica
7,CHIAPAS,106,VENUSTIANO CARRANZA,10,45089.0,3560.245064687582,0.9809690783799151,0.03726793807080908,0.013159338153285644,0.015439725540406762,0.9474997658588148,-0.7443661138960418,0.21161192630632,0.22443834644085517,G1,Tipica
7,CHIAPAS,109,VILLAFLORES,18,78034.0,2768.756337386507,0.9846050602817202,0.0397601598934044,0.013738791352447731,0.016766756375965475,0.961565703335602,-0.8211936143479549,0.8771661572684931,-0.04567785826327951,G1,Tipica
7,CHIAPAS,110,YAJALON,8,25860.0,7790.3695518477925,0.9869741360988024,0.0549934725848564,0.018900535901811514,0.02249258864903216,0.9789653054813694,0.04063695246830231,0.7990115231980216,0.37366780945867484,G1,Atipica en CP3
7,CHIAPAS,111,ZINACANTAN,11,29379.0,3266.7767778262896,0.9907533825322958,0.03254489860471655,0.011975099117635873,0.013755331078986004,0.91562210501243,-1.534941554175528,0.6839517370219012,-0.48817504994095673,G1,Tipica
7,CHIAPAS,99,LA TRINITARIA,27,57532.0,1201.297399546126,0.97884547319893,0.032593868906597746,0.013011530939054107,0.015351389659341784,0.9636323571838352,-0.7800529642202834,0.6729018949929989,0.03490354512580607,G1,Tipica
