EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,log(LNE),log(Densidad_LNE),Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,CP8,TCE_municipal,Atipicidad
10,DURANGO,2,CANELAS,13,8.023552392404348,1.1961276840972421,0.9738726558470044,-0.03934529430280138,0.03591160663048472,0.042358513468408916,0.6632954509626512,1.2955577516019816,-2.4415153619230847,2.5545301090091734,2.142548307757461,-0.8914058454837748,-0.5569180433014186,2.149831865560329,-0.17391903025646044,G0,Tipica
10,DURANGO,33,SANTIAGO PAPASQUIARO,44,10.496869644906498,2.3187713189235803,0.9817196849211952,-0.010576949356363935,0.023468603969652016,0.027825205021569543,0.4989067028077955,-0.7523421431534276,0.5262424617449943,3.131824196680593,3.0088245478426368,-0.6490786768180876,0.361090317113512,0.4309360468665494,-0.1270237440847796,G3,Tipica
10,DURANGO,18,OCAMPO,13,8.805525052709516,1.9972428181772808,0.9879560681659726,-0.014623338257016246,0.015151234563343776,0.01806599787724084,0.5219721497776553,-2.060910431348738,-0.9357935314790812,1.8318938350334224,0.6717463090082612,-1.0160634838049665,-0.5284570898082408,0.2368500649077265,-0.06978188325167728,G2,Tipica
10,DURANGO,10,HIDALGO,7,8.058643712215618,7.471483633021774,0.9867395345213,-0.029176904176904175,0.023258745105030544,0.02725811735622688,0.5774549284444701,-1.1044617612983432,-1.3411800519008614,-0.7574009645588479,1.5370308081680233,-0.8374651480350749,0.6455637803886566,1.0849771860562685,-0.09608312927466377,G2,Tipica
10,DURANGO,13,MAPIMI,12,9.798127036878302,4.9086334875221915,0.9904618310030658,-0.00568966469645915,0.014132729689428532,0.015052236999313144,0.29805283509898234,-2.6696430872089096,-0.5922710928745024,0.41198285463459017,1.5721894931473266,-0.9819244193279376,-0.3973644539054093,-0.6484188410128413,0.061901935986866025,G2,Tipica
10,DURANGO,9,GUANACEVI,21,8.881141619321468,0.7753430768445055,0.987518678049082,-0.023877357210690543,0.022442788881443833,0.026654830722813404,0.5361142360596165,-1.1927137495560098,-0.8252282814751359,2.643532630724002,1.2770255355944558,-1.7202153269669354,-0.4042730576752505,0.7165655277512377,-0.11233505466822882,G2,Atípica en tercer ICE
10,DURANGO,38,TOPIA,10,8.6278397115033,1.7490816993105753,0.9757399609732736,-0.014121800529567519,0.02771013007977775,0.03297501033587972,0.5455884091902399,0.2936438098956648,-2.11464482729331,2.154337364256293,1.8017891566694009,-0.4057996799460741,-0.8391350226397675,0.9766168605654512,-0.146417885410851,G2,Tipica
10,DURANGO,27,SAN DIMAS,32,9.483948874696605,1.1690536969675005,0.9828513571180426,-0.027732583937287385,0.030663558291629787,0.036240791215083834,0.6356417575261484,0.16749489277011187,-0.3616326282949017,3.0212971623917344,2.3318545868105667,-1.5506717507444738,-0.03483191816730207,1.4265724249249383,-0.1461350457883988,G3,Tipica
10,DURANGO,12,LERDO,24,11.581275463191771,6.1131027602780295,0.9902281399353126,-0.012815311992919309,0.017306164493744117,0.020282552436456824,0.487455856070758,-2.053338252752029,0.9572773926928148,0.28752540092103085,2.3532488381752907,-0.7920766652584571,-0.22023437157788714,0.12270734498024385,-0.04342643411000903,G2,Tipica
10,DURANGO,7,GOMEZ PALACIO,39,12.443722470246005,8.56941335398483,0.9908199404927248,-0.010590245272420895,0.01586158403633411,0.018466045548191114,0.4663722882482013,-2.374725657275725,2.143755668271744,-0.1447897707627165,3.3248911528861624,-0.3571207459623688,0.7349058368276872,-0.0590273098315224,-0.03899676320630064,G3,Tipica
