EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,log(LNE),log(Densidad_LNE),Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,TCE_municipal,Atipicidad
22,QUERETARO,11,PEDRO ESCOBEDO,3,10.876083000620751,7.288516824209081,0.9880004152091972,0.061614418175249874,0.018233161969937454,0.021753665941111656,0.9890007117765124,0.23283995448271716,1.03359641700598,-1.1237332003827938,-0.04219754232417169,0.3345200368343679,-0.5303013810436991,0.03273408092861383,G3,Tipica
22,QUERETARO,17,TEQUISQUIAPAN,4,10.878462200746059,7.338980899548014,0.9893932154879372,0.046479957368701516,0.01423709068935124,0.017293107750676003,0.9907272810811224,-0.3391169704763435,1.268437221030594,-1.0871417422347744,-0.20649573555080286,0.5071373474375486,-0.4722627515049046,0.1486991869988468,G3,Tipica
22,QUERETARO,2,ARROYO SECO,9,9.301733800405394,3.366998751274333,0.98647317389866,0.029406238256294626,0.011329816568090132,0.013693178744004048,0.9016333169126944,-0.8343605103884759,0.24046718553347265,1.0705885134768889,-0.7044003005588341,0.5241216721105291,-0.4942856352716506,0.15817273449548674,G3,Tipica
22,QUERETARO,5,CORREGIDORA,3,11.88461315162927,7.874419857066216,0.9876068950924876,0.08435212394475725,0.025199343039946108,0.030414845657477225,0.994847677201622,1.1265734772386684,1.3253777048761877,-1.50096808872806,0.4736676530363697,-0.09824607051833166,-0.7992876197766534,-0.09768997672541924,G3,Tipica
22,QUERETARO,14,QUERETARO,9,13.529383276198793,7.88445013937377,0.9878323031296876,0.0662503868024426,0.020166677940092158,0.02421121792724933,0.9924901468176679,0.5919043815209519,2.3602471297953627,-1.229473667001584,0.9356219699426256,0.29470087461487154,-1.2191693657284228,0.004414221435153957,G3,Tipica
22,QUERETARO,16,SAN JUAN DEL RIO,12,12.24848058177975,6.722301412914637,0.9887288418291929,0.06262253841022168,0.019595843267009798,0.023664068667463626,0.996412257105464,0.4269726981412271,1.9722600917609108,-0.5634339186623855,0.4161515424744565,0.12057169420976613,-0.7502971770620778,0.059172934112196374,G3,Tipica
22,QUERETARO,9,LANDA DE MATAMOROS,13,9.673130546703616,3.872094131537181,0.9887232902083009,0.029754959159859973,0.00997960717517744,0.012066623925257996,0.9761327789774484,-0.8434270606503157,0.9189974229663299,0.9402994857526258,-0.8300974100094057,0.5574117380905439,-0.2728939621345073,0.2473184537316888,G3,Tipica
22,QUERETARO,8,JALPAN DE SERRA,11,9.9362451167743,3.289148217149079,0.9879379976227908,0.0363052853274496,0.012886026145698788,0.015601924045966059,0.9725981106687164,-0.4973759306702377,0.7645346730730973,1.0724648824110132,-0.7760174296179134,0.3661185145494031,-0.6180133624006301,0.24488555139491264,G3,Tipica
22,QUERETARO,18,TOLIMAN,11,9.912100355634351,3.650792460938228,0.987949819990745,0.03872097214355594,0.012129079500589966,0.014600722116599409,0.975065796381374,-0.5094480155672585,0.8093498229196919,0.9212817838318472,-0.7629916343340464,0.4564306053172722,-0.5260764910846687,0.16801660422795528,G3,Tipica
22,QUERETARO,12,PEÐAMILLER,13,9.567385247481795,3.4559244120623522,0.9883334088904052,0.028647520333981137,0.009362295590685462,0.011156168621149593,0.9364167082265986,-0.9660419411594886,0.7715217053037271,1.1507159263956366,-0.8207861217045909,0.5390064810759494,-0.3399889417856286,0.1467229028789454,G3,Tipica
22,QUERETARO,15,SAN JOAQUIN,5,8.825265953515752,3.3927605538025385,0.9864473944644708,0.03624733475479744,0.011458670452909705,0.0136703445608673,0.949690584800828,-0.6417477831075075,-0.051308984730640536,0.8656761415019651,-1.0678884528042605,0.5992238717870707,-0.4684567011147808,0.15458013496575276,G3,Tipica
22,QUERETARO,13,PINAL DE AMOLES,15,9.876938217302591,3.6648400574685622,0.98784084161969,0.034691600701269726,0.011643272515372241,0.013596940032355141,0.9631231771579508,-0.6173546665770607,0.952151818862756,1.1248243045132702,-0.6123891863515132,0.4808809685044205,-0.3089436044234343,0.19206670505157455,G3,Tipica
22,QUERETARO,6,EZEQUIEL MONTES,5,10.338899737012245,6.956751638083555,0.9880268011963736,0.048219735503560526,0.015540548122958991,0.018776188281107446,0.9883348057990629,-0.17785664513694358,0.9265283758583048,-0.8189482317121908,-0.20757319382762476,0.5070178537281819,-0.2879896233446059,0.17874440366053415,G3,Tipica
22,QUERETARO,1,AMEALCO DE BONFIL,29,10.766609548270218,4.555783446136545,0.9877367390443871,0.057761813395207716,0.017432932265091496,0.020818401659711085,0.9910027261231776,0.27466716577699435,1.9172711315131783,1.277982997514804,0.2223503661627944,0.1447493115669753,0.2901951761695513,0.029842868862333557,G1,Tipica
22,QUERETARO,7,HUIMILPAN,10,10.268686067415738,5.258391567243135,0.9888500366845788,0.05739028328196096,0.01816611528825006,0.022107950040155453,0.9889153866492116,0.14974996053685646,1.0026479045293712,0.06497955583133122,-0.4011021955565059,0.04933852770532298,-0.32993680651511303,0.09830723953771862,G3,Tipica
22,QUERETARO,4,COLON,10,10.719272631478638,5.511608126344029,0.9867464836550828,0.04819193324061196,0.015055732813135755,0.018371418602499967,0.9949630392814368,-0.06104163921520199,1.1090765915605192,0.05349886681253205,-0.14299360218799226,0.5696388981735174,-0.518897740276799,0.16600832123778894,G3,Tipica
22,QUERETARO,3,CADEREYTA DE MONTES,21,10.833977003810096,4.5206213964195525,0.9882485026614244,0.04328238464545062,0.013795918063610291,0.01648866366771537,0.9819390716604268,-0.2664183935049438,1.6846039941607267,0.9527385227953578,-0.0939550245261442,0.377222423127514,-0.1904068541150921,0.1433864935156674,G1,Tipica
22,QUERETARO,10,EL MARQUES,8,11.745837152323316,6.149789812732888,0.985441468483588,0.11521742971745623,0.03470986199562034,0.04190404064052044,0.9968145064269314,2.4080572380497176,1.0044495439284438,-0.5922697038653214,0.6726404556520189,-0.7757948127422165,-0.8235358675432387,-0.2770499253510736,G3,Atípica en ICE principal
23,QUINTANA ROO,11,PUERTO MORELOS,5,9.890604926705114,7.329179278367107,0.9786628334208284,0.018887398080297244,0.016863885864201622,0.01852712603334509,0.4584265883283824,-1.3106484884738838,-0.7839991183504424,-0.4314496041802307,1.9899624320250628,0.5289439827765081,-0.3910079779154159,-0.3968351580824764,G0,Tipica
23,QUINTANA ROO,8,SOLIDARIDAD,5,12.307184146898585,8.58084675595469,0.9879360992440048,0.04312900990425728,0.019860802810492642,0.02392105321374775,0.8939551344136083,-0.1282086437074524,1.5874686180709794,-1.5824771319358166,0.96018387138716,0.1943982518997947,-0.8201890591860295,0.23666015782112504,G3,Tipica
23,QUINTANA ROO,9,TULUM,4,10.405474227634915,6.201258744697235,0.9851679075529214,0.04451188669701568,0.02009714916292129,0.023682130152402413,0.8409571259450628,-0.11430062097570813,0.30190822661368405,-0.4374871130846352,0.4215260127820378,0.14569163758826584,-0.6289396560365311,0.12141971910705447,G3,Tipica
23,QUINTANA ROO,5,JOSE MARIA MORELOS,14,10.179185602585227,6.4501480498011246,0.9867807426717049,0.02072518788254436,0.009814206893141072,0.011225251383260856,0.5159751653497523,-1.9573618561083448,0.5526699663580865,0.09257234088649917,1.0450272392695952,0.19080480319958046,-0.08668466216917466,-0.6907800954208412,G0,Tipica
23,QUINTANA ROO,6,LAZARO CARDENAS,11,9.961567763612653,6.865520217685197,0.990660073869249,0.0218386925709878,0.009458108827989212,0.011237660925860631,0.6544396015628658,-1.8832413937600825,0.8748986672780439,-0.3874614677041547,0.29439592814495746,0.0775613930426065,0.050288381042994296,-0.4079335033147725,G0,Tipica
23,QUINTANA ROO,3,FELIPE CARRILLO PUERTO,15,10.88706303121588,6.702189713258016,0.9855313024935782,0.020532783756965118,0.011769820439626755,0.013493782742696624,0.4816792667326853,-1.8139884587248103,0.7057255642807674,0.041549596938936624,1.552384925154085,0.14893326928681408,-0.3137419247779178,-0.6801515742592865,G0,Tipica
23,QUINTANA ROO,4,ISLA MUJERES,4,9.912843647460154,3.4956018383306877,0.9872259385002298,0.0215565226191681,0.0129277647487473,0.014319714314402841,0.4595666301405733,-1.8774219238289835,-0.3397298632627878,0.8461319220409022,0.35851284537553224,-0.4434722479893392,-1.1456773266186728,-0.6913558455912013,G0,Tipica
23,QUINTANA ROO,7,OTHON P. BLANCO,22,12.032629558222466,7.196625827577477,0.987030171262478,0.008220311544411267,0.010122893538454265,0.011200259806582315,0.3359503906232544,-2.455762152357605,1.4442802746978125,0.1350865246286918,2.3204271413955238,-0.09221409953339804,-0.37745413291012303,-0.8941544287976482,G0,Tipica
