EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,TCE_municipal
20,OAXACA,273,SAN MIGUEL PIEDRAS,-0.13830315321423892,-0.2604130521228221,0.4891579019448632,-0.5902814552276751,-0.6483063132024937,-0.08447205599919093,-0.33731024056373426,0.28503358126640105,G1
20,OAXACA,123,SAN CRISTOBAL AMATLAN,1.6676524804526467,-0.3486008001973661,-0.19941263426074915,-0.5062026620001939,-0.3386560227714219,0.34706821590704,-0.13867376284429453,-0.023507948438708667,G2
20,OAXACA,252,SAN MATEO RIO HONDO,1.4988533780282756,-0.6246190399715071,0.012564735404223213,-0.11662801605026026,0.3347825689034307,0.3027877673227831,0.21424137480587488,-0.07883237995497064,G2
20,OAXACA,414,SANTA MARIA HUATULCO,1.5451593650374251,-0.33627757582359397,0.11214248756861599,-0.0720227851797098,0.4189741207470937,0.4426264957675328,-0.11616232913480502,0.023455135965669654,G2
20,OAXACA,6,ASUNCION IXTALTEPEC,-0.6954618883898013,-0.03752079122126256,-0.7918174834732644,-0.955763056712507,-0.12763531907984466,0.3730983959763615,0.186959444669066,0.0975415892371998,G1
20,OAXACA,14,CANDELARIA LOXICHA,0.8217036311497453,-0.8125351689031673,0.1753699144389517,0.2699702924758751,0.7537715229035458,0.23826959864068795,0.34991829749855924,0.008389726149879198,G1
20,OAXACA,177,SAN JUAN BAUTISTA JAYACATLAN,2.5357620652824893,-0.4554292352541776,0.18498927052855546,-0.3756655290222495,-0.7229186048449534,0.2823988794651761,-0.05952912743447347,-0.07842561177403601,G2
20,OAXACA,175,SAN JUAN BAUTISTA CUICATLAN,0.4290648357982077,-0.4136651771676549,-0.4978782187387106,0.1175002849168885,0.4991898485024016,0.11279510092887525,0.23823786831775956,0.02538356005585281,G1
20,OAXACA,90,SAN ANDRES LAGUNAS,-2.7827013140806383,-0.8824314744959509,0.14442423035936322,-0.5728858506871177,0.24778231828356034,0.4321969637949936,-0.3082469465398186,0.009184669335061674,G0
20,OAXACA,146,SAN FRANCISCO SOLA,-1.4521635886048392,-0.3029836333834066,-0.18843745156111266,-0.9912652280856104,0.3185510005208266,0.2581758003207236,0.2786037207131179,-0.006846190537671722,G1
20,OAXACA,470,SANTIAGO JUXTLAHUACA,-0.163700213870257,-0.1498093776646052,-0.8334401953387576,0.21546965606407184,0.5175756909440343,0.0725614016142809,0.3102558791424975,-0.020840436639652016,G1
20,OAXACA,446,SANTA MARIA YOSOYUA,-2.0396400591147543,0.11616899649591225,0.04476800608383991,-1.2124215215082332,0.03245648258049885,-0.15496975448076206,0.11814463289629495,0.04202163061868668,G1
20,OAXACA,208,SAN JUAN MIXTEPEC,-0.2437107205779313,-0.4453807398364863,-0.4801370813871985,-0.12278613835198705,0.7315443892850791,0.2183111729648821,0.046029832994927314,0.026086893923402497,G1
20,OAXACA,553,HEROICA CIUDAD DE TLAXIACO,-0.7249765254691672,0.20512327765245825,-1.0658690053905542,-0.44941652211771416,-0.16314801286956454,0.19906121731337595,0.2403767616252845,0.005474580443465518,G1
20,OAXACA,496,SANTIAGO XANICA,3.999218139565509,-1.4644138506277258,1.1581900471534048,1.2566134870016823,1.7431073815836449,0.2465332719755113,0.3770461692822475,-0.06451103438668299,G2
20,OAXACA,131,SAN FELIPE JALAPA DE DIAZ,-1.2822024326636905,-0.3090042510824659,-0.4957857034943529,-0.31528754948737003,0.9749987940414372,0.2691544940484793,0.3956987921059126,0.01887429559825377,G1
20,OAXACA,516,SANTO DOMINGO TEOJOMULCO,4.1674962777395335,-1.219362274329172,0.987423607719918,0.797317476907465,1.0293498771426075,0.3738590751418709,-0.3066369173814396,0.17500315044245096,G2
20,OAXACA,569,ZAPOTITLAN PALMAS,-0.07811231381375486,-0.1783102325061279,-0.29015864721680434,-1.0156821106842164,-0.2095030588933846,0.2857937394676099,0.18360951641085632,-0.0014511926667845258,G1
20,OAXACA,188,SAN JUAN CIENEGUILLA,1.087221557545928,-1.1011560443436967,1.0876119923568404,0.4299419489567357,2.2898179537739978,0.08643761512239692,0.6236316126561031,0.022791313238541545,G2
20,OAXACA,21,CONCEPCION BUENAVISTA,3.3728765695229845,-0.9131463502767492,0.6658621566797838,0.33394612139075386,-0.7289609311536668,0.29059622051010303,-0.3877658443968444,0.02697568060794757,G2
20,OAXACA,265,SAN MIGUEL DEL PUERTO,1.513938124289462,-1.0611898256818124,0.4917656467639146,0.6610497371876892,1.1335634683034512,0.21742904062956114,0.4931084771412194,-0.05648619895308185,G2
20,OAXACA,476,SANTIAGO MATATLAN,0.3549235905611369,-0.03548396400591846,-0.3913630993145978,-0.9918986295050796,-0.4235247078009871,0.2840650474571311,0.13328420320586018,0.0001914864045673104,G1
20,OAXACA,18,COATECAS ALTAS,-1.5518592671546223,-0.06112547048710256,-0.8175414036880838,-1.26758265815937,-0.047348443377095616,0.3879568594413578,0.30776179254516856,-0.0011282496170073732,G1
20,OAXACA,428,SANTA MARIA PEÐOLES,-0.6600476932314434,-1.4025460117945208,0.9275251161409959,0.7663621195183188,-0.3038402664981103,0.2484163179110085,-0.7912204766205417,-0.12071561660554035,G0
20,OAXACA,548,TEPELMEME VILLA DE MORELOS,-1.0215995692448443,-1.403608211201158,0.8018420169194185,0.46700324725396997,0.6741680743456641,0.3534055638968057,-0.4026978930128275,0.00019130839997559632,G0
20,OAXACA,332,VILLA DE TUTUTEPEC,0.8746642537996773,-0.08597200056183209,-0.4529518028442753,-0.2852921007958611,0.0726920629194995,0.4091612217908975,0.037961327576301225,-0.026299867484411932,G1
20,OAXACA,474,SANTIAGO LAXOPA,-0.9980360404099944,-0.4251513460445589,-0.3015141801540592,-0.8334286819499691,-0.4315713283974102,0.3512904123359994,0.23761257798836985,0.08128476686063782,G1
20,OAXACA,492,SANTIAGO TEXTITLAN,5.495248370152775,-1.403778060847216,1.2825953770941552,1.1882806015208092,1.3872995319330337,0.3469916409785526,-0.16636730529896776,0.0634646519615136,G2
20,OAXACA,211,SAN JUAN OZOLOTEPEC,2.7377641467917613,-0.9303049865222144,0.4912179516579625,0.3357299671587555,0.6701644503814261,0.316016888527322,0.14541914128677205,0.07463629203712473,G2
20,OAXACA,62,NATIVIDAD,1.590725554125037,-0.10064948794522248,0.097288029387242,-0.7388494732379374,-0.5965515223384912,0.05961485329963007,0.06812444338400346,-0.04512096301524587,G2
20,OAXACA,451,SANTIAGO AMOLTEPEC,-1.6068922484479562,-0.8388314760669443,0.009732979009128916,-0.10620750516672132,1.0946379474841879,0.3416305860865686,0.2492494308053144,-0.008934188380310067,G1
20,OAXACA,405,SANTA MARIA CHIMALAPA,-0.7256593241721998,-0.8428849449499489,0.09726031561875652,0.09594504760114772,0.2588543276111981,0.2502531364151979,0.08723187120730395,-0.02008297290898461,G1
20,OAXACA,390,SANTA INES YATZECHE,-1.3723737666469076,-0.06514714939229538,-0.4891818889256314,-1.3051456689342515,0.19552974250240196,0.2874231250181913,0.2060304619957888,0.06181726106713398,G1
20,OAXACA,209,SAN JUAN MIXTEPEC,1.7162895148319284,-0.4517934081646888,0.1232290829217082,-0.4831303343345668,0.1128571551945808,0.3017168618161085,-0.10647242608176727,0.02018182729234583,G2
20,OAXACA,206,SAN JUAN LALANA,-0.1968123374997864,-0.8500295789383485,0.13518735113739844,0.3122784564775844,0.9594381962828652,0.2606000606800649,0.2567656464765245,-0.06413467819111651,G1
20,OAXACA,261,SAN MIGUEL AMATLAN,1.6147071313362533,-0.19709139281271226,-0.42399433902382855,-0.7504981548288419,-0.5427389138743696,0.35910911700857706,-0.2525190251987281,0.021985713065097143,G2
20,OAXACA,85,SAN ANDRES CABECERA NUEVA,-2.703171985981983,-0.7996550187666476,-0.07822715735932928,-0.5259003797696474,0.4637029697614588,0.4274364416542642,-0.2987249355316033,0.010938130316396016,G0
20,OAXACA,442,SANTA MARIA XADANI,-0.4916802103626254,1.0250111497446408,0.2003765044045616,-1.587288422555159,-0.5875057140359983,-0.7196714136281991,0.052612073932293515,-0.031068687816824724,G1
20,OAXACA,323,SAN PEDRO QUIATONI,0.9745676270146706,-0.6873733409780397,0.103426189566279,-0.2450840450049892,1.0516046463046331,0.4578498443824002,0.07996866233432386,-0.0715461527300607,G1
20,OAXACA,307,SAN PEDRO IXCATLAN,-2.9551564557375785,-1.7923026364327512,1.184493157078311,1.2645344433658818,0.1900683155200172,0.18089524222751172,-1.1882005305489771,-0.04478475075252588,G0
20,OAXACA,173,SAN JUAN BAUTISTA ATATLAHUCA,-2.2568588253098505,-0.003741093143832212,-0.17919928597480572,-1.2643350786389662,0.2849490029596776,0.05200162389158948,0.10781339515525347,0.029299902081058163,G1
20,OAXACA,466,SANTIAGO IXCUINTEPEC,1.7375341506186073,-1.215006970059493,1.7399165260441234,0.8776098879757971,2.3838407094091174,-0.14228219313534174,0.08981496860085045,-0.06446257571279326,G2
20,OAXACA,67,OCOTLAN DE MORELOS,0.863460759254962,-0.07007121009150162,-0.4493845399752036,-0.1993229927204904,-0.027309215818369828,0.09022041567925716,0.13959161002195894,-0.06049536078998127,G1
20,OAXACA,348,SAN SIMON ALMOLONGAS,-0.7525137974431519,-0.5958292102477889,-0.13503750179169902,-0.5961211641593581,0.8701563346063964,0.3920006432475024,0.3802909873309084,-0.03981374144286645,G1
20,OAXACA,499,SANTIAGO YAVEO,-0.2086258098439942,-0.6624685692549572,-0.11435576456567136,-0.19755485653534235,0.7538215345145919,0.3522813037265133,-0.0684213613095774,0.0035204074348389436,G1
20,OAXACA,448,SANTA MARIA ZACATEPEC,0.8110347174958722,-0.9080499041371668,0.2781428702034793,0.5973657550414891,0.8381583145256782,0.22993303955925565,-0.08977683606479302,-0.061975475606808626,G2
20,OAXACA,164,SAN JOSE CHILTEPEC,-0.9033961128294908,0.4785253830218072,-0.14080022319916272,-1.1064664759169074,0.10059931841954706,-0.32812360678282204,0.2321400645888348,0.017416383272751603,G1
20,OAXACA,182,SAN JUAN BAUTISTA TUXTEPEC,-1.6795223407822546,1.2633193241614893,-1.2723572395359928,0.27031967539810203,0.2675890083310632,-0.04405734317809009,0.22502124999256146,0.0830270328844432,G3
20,OAXACA,232,SAN LUCAS OJITLAN,-2.026561810115327,-0.00908606948481805,-1.0473216563879435,-0.7886149641760443,0.3099477436409532,0.2742193119480124,0.3919113707725012,0.024400714353731017,G1
20,OAXACA,66,OAXACA DE JUAREZ,-1.164405400910549,2.2321796473489903,0.9347802602456758,-0.7353283142814041,0.4261342938246343,0.3843698700304472,0.3023311882979649,0.03656598660381912,G1
20,OAXACA,325,SAN PEDRO TAPANATEPEC,-1.013064093607652,-0.7570167239170157,0.08483869120696566,-0.0915298236456704,0.6582783327900803,0.38612225643189024,-0.674229190245657,0.0364229241044776,G1
20,OAXACA,418,SANTA MARIA JACATEPEC,-1.6310111573872599,-0.09926510016306653,-0.8324997644462091,-0.9419323103947571,-0.027738156213749712,0.3004020426746563,0.2178839287496218,0.047036834738872366,G1
20,OAXACA,534,SILACAYOAPAM,-0.4931933374179414,-0.618467934213518,-0.4325051369775931,0.5049282570577219,1.5637444104585263,0.0009241495622201056,0.3463002987840785,-0.015195045116261931,G1
20,OAXACA,407,SANTA MARIA CORTIJO,-0.29811504652088683,-1.316423430202894,1.7727459297523167,0.8129197738442908,2.50455698442692,-0.22171788108498544,0.6541634730427492,-0.10038084909073136,G0
20,OAXACA,374,SANTA CATARINA ZAPOQUILA,1.7120964152143243,-0.3270783458306346,0.08320478663770033,-0.5948008094023284,-0.4472319413880589,0.24579777249457166,-0.22576663942801434,0.21103913419885248,G2
20,OAXACA,425,SANTA MARIA OZOLOTEPEC,1.1035779371777032,-0.5814947695719669,-0.08993796942614721,-0.16757584999949834,0.29085003438732915,0.35430638838548856,-0.6420776944125324,0.0894469230526452,G2
20,OAXACA,317,SAN PEDRO MIXTEPEC,-0.26478927868700725,-0.8746022593759194,0.7002945235085223,-0.03801568804801822,2.2117510522021515,0.13588659025382593,0.5445814247160243,-0.000158837375341774,G1
20,OAXACA,567,SAN MATEO YUCUTINDOO,3.7485969112285313,-2.962619883743168,3.17370101654302,3.0068202629137315,4.134569974130109,0.14875478530788952,0.8921542935893383,-0.057876498512694476,G2
20,OAXACA,46,MAGDALENA JALTEPEC,-3.1927733917403414,-1.1749239151252262,0.3957824411373253,0.010329516745939871,0.02573423301422607,0.3592085252535919,-0.7648988929775593,-0.017201664289242836,G0
20,OAXACA,493,SANTIAGO TILANTONGO,-1.032064587337131,-0.7749456674169798,0.0675630253158604,-0.22186344122741236,-0.22977597814483974,0.30861965360755644,-0.19601881291243065,-0.013682025229772823,G1
