EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,CP1,CP2,CP3,CP4,CP5,CP6,CP7,TCE_municipal
7,CHIAPAS,112,ALDAMA,-0.6403825426157248,-1.5760773738115632,-0.9355881986012768,1.7426585321156534,-0.03629412516032572,0.3891016760522782,0.8092190998612862,G0
7,CHIAPAS,116,MONTECRISTO DE GUERRERO,-1.419390043400344,0.6533810854968375,-1.4518520182050103,-0.8769161077460387,0.5887386172052402,0.6628485075821156,0.1977709645986598,G3
7,CHIAPAS,117,SAN ANDRES DURAZNAL,-1.4424661448799843,-2.7564243385570646,-0.7532703680541661,3.270477889004732,0.9414037610277372,0.20424074086655486,-1.696072899302565,G0
7,CHIAPAS,82,SIMOJOVEL,0.1738358114969742,-0.01913123010601081,0.6607360531535321,0.9494052163655906,1.190105742870211,-0.5919849876658249,-0.18988623310511005,G3
7,CHIAPAS,90,TAPACHULA,-0.6754977629830498,3.84920954061308,1.443360183421199,1.2206644966021043,0.583169183333178,1.0240867398815026,0.11444403314770793,G1
7,CHIAPAS,97,TONALA,0.15613148153844586,2.020518887977645,0.4550660239490961,0.16715509719888458,0.02320329888888893,0.08504752134123428,0.07705472736756275,G1
7,CHIAPAS,65,PALENQUE,-0.6509598936265572,2.446076397444738,-0.3534590451581639,0.40499030792542656,0.5804185500945783,0.3920955258961514,0.11950605064793934,G1
7,CHIAPAS,71,PUEBLO NUEVO SOLISTAHUACAN,-0.04380271884557182,-0.8645926418412484,0.6685307538181828,1.1969813846966315,1.1865506141448336,-0.8993723468057409,0.1940020351572253,G3
7,CHIAPAS,76,SALTO DE AGUA,-1.021938995266063,2.2215448642571998,-0.8563489491143625,0.03660815700052578,0.5262276591428251,0.6629510823190907,0.15700367928266368,G1
7,CHIAPAS,24,CHANAL,0.9671925308675572,-0.2315808955661212,0.20097904587906806,-0.8883292560665571,-0.5266945474555936,-0.4160693279407627,-0.03019984099057212,G3
7,CHIAPAS,38,HUITIUPAN,-0.3475830301464294,0.5424286630366147,0.4602161561570553,-0.4683506245909225,0.6775189611045783,-0.3594559577491141,0.07448721038956217,G3
7,CHIAPAS,96,TILA,-0.35406430589102483,1.247702483776273,0.32575635725260266,0.3564570208737017,0.6106729041945593,-0.2476181742065677,0.1423518003077072,G1
7,CHIAPAS,4,ALTAMIRANO,0.25913435415806874,0.5288975129486487,0.22793385101285485,-0.577492475585808,-0.13495554529084008,-0.5903035711318416,0.09336985507885766,G3
7,CHIAPAS,104,TZIMOL,-0.7113841506559764,-0.6749535268210048,-0.4038789354637414,1.0987598773878569,1.3926957994956708,-0.15195337472226395,-0.06541776061059712,G0
7,CHIAPAS,91,TAPALAPA,-3.2218947207913806,-0.8604820959671455,-1.2939518659152511,0.9147638617305816,0.17285982619902285,0.5226735456812299,-1.4502330205212837,G0
